Date,diff,height,value,Close
2018-11-26,11926609305.972,295547,4146505.33840455,19.69
2018-11-26,11926609305.972,295548,4146212.81924506,19.69
2018-11-26,11926609305.972,295549,4146006.97908506,19.69
2018-11-26,11926609305.972,295550,4146125.16723478,19.69
2018-11-26,11926609305.972,295551,4146342.32956493,19.69
2018-11-26,11926609305.972,295552,4146043.74250511,19.69
2018-11-26,11926609305.972,295553,4147112.88618799,19.69
2018-11-26,11926609305.972,295554,4146717.04206894,19.69
2018-11-26,11926609305.972,295555,4146518.63834688,19.69
2018-11-26,11926609305.972,295556,4146023.250316,19.69
2018-11-26,11926609305.972,295557,4145515.50140502,19.69
2018-11-26,11926609305.972,295558,4145735.6805399,19.69
2018-11-26,11926609305.972,295559,4145538.19849682,19.69
2018-11-26,11926609305.972,295560,4145776.90598885,19.69
2018-11-26,11926609305.972,295561,4145371.81471945,19.69
2018-11-26,11926609305.972,295562,4145384.94182276,19.69
2018-11-26,11926609305.972,295563,4145087.07610602,19.69
2018-11-26,11926609305.972,295564,4145302.19009535,19.69
2018-11-26,11926609305.972,295565,4144999.85402395,19.69
2018-11-26,11926609305.972,295566,4145018.51407483,19.69
2018-11-26,11926609305.972,295567,4145131.62679925,19.69
2018-11-26,11926609305.972,295568,4144936.24231122,19.69
2018-11-26,11926609305.972,295569,4144628.6531826,19.69
2018-11-26,11926609305.972,295570,4144323.90286031,19.69
2018-11-26,11926609305.972,295571,4144527.63327778,19.69
2018-11-26,11926609305.972,295572,4144242.81667621,19.69
2018-11-26,11926609305.972,295573,4143958.27106867,19.69
2018-11-26,11926609305.972,295574,4143974.06170017,19.69
2018-11-26,11926609305.972,295575,4143673.88920579,19.69
2018-11-26,11926609305.972,295576,4144213.78781154,19.69
2018-11-26,11926609305.972,295577,4144330.64618971,19.69
2018-11-26,11926609305.972,295578,4144346.7935468,19.69
2018-11-26,11926609305.972,295579,4144166.49141755,19.69
2018-11-26,11926609305.972,295580,4144698.80639499,19.69
2018-11-26,11926609305.972,295581,4145135.89713546,19.69
2018-11-26,11926609305.972,295582,4144941.46079613,19.69
2018-11-26,11926609305.972,295583,4145584.45769438,19.69
2018-11-26,11926609305.972,295584,4146124.35892941,19.69
2018-11-26,11926609305.972,295585,4145924.51210784,19.69
2018-11-26,11926609305.972,295586,4145855.8144898,19.69
2018-11-26,11926609305.972,295587,4145876.00219258,19.69
2018-11-26,11926609305.972,295588,4145898.8871117,19.69
2018-11-26,11926609305.972,295589,4145605.10439172,19.69
2018-11-26,11926609305.972,295590,4145608.59346411,19.69
2018-11-26,11926609305.972,295591,4145417.26993078,19.69
2018-11-26,11926609305.972,295592,4145753.31786176,19.69
2018-11-26,11926609305.972,295593,4145775.02343912,19.69
2018-11-26,11926609305.972,295594,4145589.83603464,19.69
2018-11-26,11926609305.972,295595,4146021.1947961,19.69
2018-11-26,11926609305.972,295596,4145842.49852837,19.69
2018-11-26,11926609305.972,295597,4145751.35092061,19.69
2018-11-26,11926609305.972,295598,4145562.33983196,19.69
2018-11-26,11926609305.972,295599,4145364.106004,19.69
2018-11-26,11926609305.972,295600,4145163.64988642,19.69
2018-11-26,11926609305.972,295601,4144865.80648131,19.69
2018-11-26,11926609305.972,295602,4144663.10761928,19.69
2018-11-26,11926609305.972,295603,4144262.62281108,19.69
2018-11-26,11926609305.972,295604,4144064.86422205,19.69
2018-11-26,11926609305.972,295605,4143874.20856226,19.69
2018-11-26,11926609305.972,295606,4144308.99100145,19.69
2018-11-26,11926609305.972,295607,4144003.02486845,19.69
2018-11-26,11926609305.972,295608,4143690.07923901,19.69
2018-11-26,11926609305.972,295609,4143481.77078479,19.69
2018-11-26,11926609305.972,295610,4144228.84148087,19.69
2018-11-26,11926609305.972,295611,4145275.68687586,19.69
2018-11-26,11926609305.972,295612,4145060.59206694,19.69
2018-11-26,11926609305.972,295613,4145178.95168284,19.69
2018-11-26,11926609305.972,295614,4145815.29915058,19.69
2018-11-26,11926609305.972,295615,4145617.59297707,19.69
2018-11-26,11926609305.972,295616,4145639.47968536,19.69
2018-11-26,11926609305.972,295617,4147213.83548867,19.69
2018-11-26,11926609305.972,295618,4148698.93588496,19.69
2018-11-26,11926609305.972,295619,4150265.93472634,19.69
2018-11-26,11926609305.972,295620,4151005.43014458,19.69
2018-11-26,11926609305.972,295621,4150601.22091514,19.69
2018-11-26,11926609305.972,295622,4150503.11380523,19.69
2018-11-26,11926609305.972,295623,4150097.36959232,19.69
2018-11-26,11926609305.972,295624,4149690.78216453,19.69
2018-11-26,11926609305.972,295625,4149615.31508131,19.69
2018-11-26,11926609305.972,295626,4149208.04126352,19.69
2018-11-26,11926609305.972,295627,4149027.94326195,19.69
2018-11-27,11926609305.972,295628,4148834.51623157,19.79
2018-11-27,11926609305.972,295629,4148420.88631521,19.79
2018-11-27,11926609305.972,295630,4148223.58433698,19.79
2018-11-27,11926609305.972,295631,4148230.44447965,19.79
2018-11-27,12153054733.7912,295632,4148030.97504022,19.79
2018-11-27,12153054733.7912,295633,4147744.74603157,19.79
2018-11-27,12153054733.7912,295634,4147446.84703321,19.79
2018-11-27,12153054733.7912,295635,4147249.2425799,19.79
2018-11-27,12153054733.7912,295636,4147057.98080922,19.79
2018-11-27,12153054733.7912,295637,4146854.58544608,19.79
2018-11-27,12153054733.7912,295638,4148440.11462735,19.79
2018-11-27,12153054733.7912,295639,4150006.29281714,19.79
2018-11-27,12153054733.7912,295640,4150862.73246062,19.79
2018-11-27,12153054733.7912,295641,4150566.49095045,19.79
2018-11-27,12153054733.7912,295642,4150271.49235986,19.79
2018-11-27,12153054733.7912,295643,4150597.22952326,19.79
2018-11-27,12153054733.7912,295644,4150708.05521737,19.79
2018-11-27,12153054733.7912,295645,4150523.63909216,19.79
2018-11-27,12153054733.7912,295646,4150219.30385193,19.79
2018-11-27,12153054733.7912,295647,4150016.91632524,19.79
2018-11-27,12153054733.7912,295648,4150035.10370122,19.79
2018-11-27,12153054733.7912,295649,4150057.75900532,19.79
2018-11-27,12153054733.7912,295650,4149652.04445425,19.79
2018-11-27,12153054733.7912,295651,4149553.93810427,19.79
2018-11-27,12153054733.7912,295652,4149160.24792818,19.79
2018-11-27,12153054733.7912,295653,4148965.57167262,19.79
2018-11-27,12153054733.7912,295654,4148853.26777144,19.79
2018-11-27,12153054733.7912,295655,4148968.19411183,19.79
2018-11-27,12153054733.7912,295656,4148780.58154811,19.79
2018-11-27,12153054733.7912,295657,4148794.84190208,19.79
2018-11-27,12153054733.7912,295658,4148389.31144728,19.79
2018-11-27,12153054733.7912,295659,4148617.20627533,19.79
2018-11-27,12153054733.7912,295660,4148213.96773181,19.79
2018-11-27,12153054733.7912,295661,4147904.83357608,19.79
2018-11-27,12153054733.7912,295662,4149479.68230906,19.79
2018-11-27,12153054733.7912,295663,4149403.58182155,19.79
2018-11-27,12153054733.7912,295664,4149101.14042476,19.79
2018-11-27,12153054733.7912,295665,4149217.35904855,19.79
2018-11-27,12153054733.7912,295666,4150582.75385535,19.79
2018-11-27,12153054733.7912,295667,4150395.14551307,19.79
2018-11-27,12153054733.7912,295668,4150300.12405916,19.79
2018-11-27,12153054733.7912,295669,4150208.76739057,19.79
2018-11-27,12153054733.7912,295670,4150006.03931175,19.79
2018-11-27,12153054733.7912,295671,4149812.24400948,19.79
2018-11-27,12153054733.7912,295672,4149600.8095972,19.79
2018-11-27,12153054733.7912,295673,4149491.49053962,19.79
2018-11-27,12153054733.7912,295674,4149617.81763139,19.79
2018-11-27,12153054733.7912,295675,4149417.78404097,19.79
2018-11-27,12153054733.7912,295676,4149005.74801681,19.79
2018-11-27,12153054733.7912,295677,4149019.50508122,19.79
2018-11-27,12153054733.7912,295678,4148520.98429024,19.79
2018-11-27,12153054733.7912,295679,4148529.11945373,19.79
2018-11-27,12153054733.7912,295680,4150105.02127906,19.79
2018-11-27,12153054733.7912,295681,4149819.16431973,19.79
2018-11-27,12153054733.7912,295682,4150770.55729304,19.79
2018-11-27,12153054733.7912,295683,4150988.81369042,19.79
2018-11-27,12153054733.7912,295684,4151111.1590899,19.79
2018-11-27,12153054733.7912,295685,4151026.31367818,19.79
2018-11-27,12153054733.7912,295686,4151256.43353616,19.79
2018-11-27,12153054733.7912,295687,4150754.57692016,19.79
2018-11-27,12153054733.7912,295688,4150864.91803472,19.79
2018-11-27,12153054733.7912,295689,4150552.32378765,19.79
2018-11-27,12153054733.7912,295690,4150251.27488368,19.79
2018-11-27,12153054733.7912,295691,4149942.20405363,19.79
2018-11-27,12153054733.7912,295692,4150892.78607119,19.79
2018-11-27,12153054733.7912,295693,4150821.36694106,19.79
2018-11-27,12153054733.7912,295694,4150517.21247035,19.79
2018-11-27,12153054733.7912,295695,4150114.63414056,19.79
